stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
279,FARSHIGE,Farmington Ave @ S Highland St,41.765376,-72.718308,,,,,,0
281,FAROXFE,Farmington Ave @ Oxford St,41.765784,-72.713764,,,,,,0
283,FARWHITE,Farmington Ave @ S Whitney St,41.766156,-72.710844,,,,,,0
285,FARGIRE,Farmington Ave @ Opp Girard Ave,41.766458,-72.708299,,,,,,0
287,FARDENIE,Farmington Ave @ Denison St,41.766786,-72.705815,,,,,,0
289,WEBCASN,Webster Hilll Blvd @ Cassilis Rd,41.739913,-72.739916,,,,,,0
290,WEBLEDN,Webster Hill Blvd @ Ledgewood Rd,41.742005,-72.74041,,,,,,0
291,WEBGREN,Webster Hill Blvd @ Greystone Rd,41.74406,-72.740613,,,,,,0
292,WEBROCN,Webster Hill Blvd @ Rockledge Dr,41.745544,-72.740769,,,,,,0
293,WEBCREN,Webster Hill Blvd @ Crestwood Rd,41.747671,-72.741057,,,,,,0
294,WEB50N,Webster Hill Blvd @ 50 Webster Hill Blvd,41.749057,-72.741624,,,,,,0
295,WEB16W,Webster Hill Blvd @ 16 Webster Hill Blvd,41.751087,-72.743378,,,,,,0
296,SMAICVSN,S Main St @ CVS,41.752195,-72.743813,,,,,,0
297,SMAITHON,S Main St @ Thomson Rd,41.754063,-72.74375,,,,,,0
298,SMAIBOUN,S Main St @ Boulevard,41.756002,-72.743699,,,,,,0
300,SMAIMEMN,S Main St @ Memorial Rd,41.759263,-72.742169,,,,,,0
301,FARBROE,Farmington Ave @ Broad St,41.768053,-72.686271,,,,,,0
302,FARMOUE,Farmington Ave @ Mountain Rd,41.755165,-72.764316,,,,,,0
303,FARRIDE,Farmington Ave @ Ridgewood Rd,41.755817,-72.76216,,,,,,0
304,FARGARE,Farmington Ave @ Garfield Rd,41.756619,-72.759433,,,,,,0
305,FARWARE,Farmington Ave @ Wardwell Rd,41.757324,-72.757095,,,,,,0
306,FARLEME,Farmington Ave @ Lemay St,41.758127,-72.754393,,,,,,0
307,FARRIGE,Farmington Ave @ Riggs Ave,41.758894,-72.751812,,,,,,0
308,FARFOUE,Farmington Ave @ Four Mile Rd,41.759599,-72.749449,,,,,,0
309,FARWALE,Farmington Ave @ Opp Walden St,41.760517,-72.746395,,,,,,0
311,STASTAS,Starkel Rd @ Starkel Library,41.787052,-72.744995,,,,,,0
312,NMAILAWS,N Main St @ Lawler Rd,41.781797,-72.746625,,,,,,0
313,NMAIHICS,N Main St @ Hickory Ln,41.777525,-72.745794,,,,,,0
314,NMAIBROS,N Main St @ Brookside Blvd,41.775272,-72.745409,,,,,,0
315,NMAIWYNS,N Main St @ Wyndwood Rd,41.77285,-72.744963,,,,,,0
316,NMAISCHS,N Main St @ School For Deaf,41.771205,-72.744044,,,,,,0
317,NMAIHILS,N Main St @ Hilltop Dr,41.770132,-72.743476,,,,,,0
318,NMAIFERS,N Main St @ Fern St,41.768916,-72.743126,,,,,,0
319,NMAILOOS,N Main St @ opp Loomis Dr,41.766646,-72.742754,,,,,,0
320,NMAIWHIS,N Main St @ Whitman Ave,41.765314,-72.742489,,,,,,0
321,NMAI35S,N Main St @ 35 N Main St,41.76442,-72.742235,,,,,,0
322,NEWCHAE,New Britain Ave @ Chatfield Dr,41.729554,-72.752195,,,,,,0
323,NEWBRAE,New Britain Ave @ opp Bramley Rd,41.73033,-72.749312,,,,,,0
324,NEWVALE,New Britain Ave @ opp Valley Crest Dr,41.730722,-72.747665,,,,,,0
325,NEWKNOE,New Britain Ave @ Knollwood Rd,41.731381,-72.744879,,,,,,0
326,SMAIBRIN,S Main St @ Brightwood Ln,41.732435,-72.743255,,,,,,0
327,SMAIWINN,S Main St @ Winthrop Rd,41.734401,-72.743035,,,,,,0
328,SMAIHOON,S Main St @ Hooker Dr,41.736635,-72.742996,,,,,,0
330,FARWESE,Farmington Ave @ opp W Avon Rd,41.756554,-72.882394,,,,,,0
331,FAR1761E,Farmington Ave @ 1761 Farmington Ave,41.755474,-72.880103,,,,,,0
332,FARWALNE,Farmington Ave @ Walnut St,41.75434,-72.877716,,,,,,0
333,FAR1656E,Farmington Ave @ 1656 Farmington Ave,41.752509,-72.873863,,,,,,0
334,FARHIGE,Farmington Ave @ opp Highwood Rd,41.751491,-72.871925,,,,,,0
336,FARMONE,Farmington Ave @ opp Monteith Dr,41.748534,-72.868762,,,,,,0
338,FARAPTE,Farmington Ave @ Farmington Court Apts,41.746024,-72.864437,,,,,,0
339,FARWOEE,Farmington Ave @ Woewassa Ln,41.745086,-72.862462,,,,,,0
340,FARWANE,Farmington Ave @ Wannomassa  Ln,41.743791,-72.860475,,,,,,0
